,Unnamed: 0,id,datetime,file_name,seq_id,frame_num,seq_num_frames,location,category_id,has_animal,species
0,12063,N05_05020356.JPG,2020-05-02 07:55:07+00:00,N05/05020356.JPG,39c8051b-7160-11ec-91f3-5cf3706028c2,7,9,N05,0,1,empty
1,9663,N05_05310602.JPG,2020-05-31 21:49:55+00:00,N05/05310602.JPG,39c82c2e-7160-11ec-987e-5cf3706028c2,25,48,N05,0,1,empty
2,18487,N05_02270173.JPG,2020-02-27 01:13:26+00:00,N05/02270173.JPG,39c7de01-7160-11ec-a93d-5cf3706028c2,4,6,N05,0,1,empty
3,14221,N05_04280337.JPG,2020-04-28 14:55:53+00:00,N05/04280337.JPG,39c80517-7160-11ec-b7db-5cf3706028c2,0,3,N05,0,1,empty
4,5089,N05_02270168.JPG,2020-02-27 00:31:46+00:00,N05/02270168.JPG,39c7de00-7160-11ec-b5f9-5cf3706028c2,2,3,N05,0,0,empty
5,3631,N05_05020353.JPG,2020-05-02 07:55:02+00:00,N05/05020353.JPG,39c8051b-7160-11ec-91f3-5cf3706028c2,4,9,N05,0,1,empty
6,9792,N05_05090390.JPG,2020-05-09 14:41:11+00:00,N05/05090390.JPG,39c80524-7160-11ec-9c8a-5cf3706028c2,2,15,N05,0,1,empty
7,9628,N05_05090398.JPG,2020-05-09 14:41:30+00:00,N05/05090398.JPG,39c80524-7160-11ec-9c8a-5cf3706028c2,10,15,N05,0,1,empty
8,22171,N05_06300770.JPG,2020-06-30 03:59:50+00:00,N05/06300770.JPG,39c8533e-7160-11ec-9709-5cf3706028c2,1,3,N05,36,1,white-lipped_peccary
9,63705,N05_06280767.JPG,2020-06-28 18:01:30+00:00,N05/06280767.JPG,39c8533d-7160-11ec-91dd-5cf3706028c2,1,3,N05,36,0,white-lipped_peccary
10,13565,N05_02140142.JPG,2020-02-14 20:39:02+00:00,N05/02140142.JPG,39c7ddfb-7160-11ec-a7e2-5cf3706028c2,0,6,N05,0,1,empty
11,53896,N05_05300544.JPG,2020-05-30 17:57:10+00:00,N05/05300544.JPG,39c82c2b-7160-11ec-83ac-5cf3706028c2,99,105,N05,36,1,white-lipped_peccary
12,60549,N05_05020349.JPG,2020-05-02 07:54:57+00:00,N05/05020349.JPG,39c8051b-7160-11ec-91f3-5cf3706028c2,0,9,N05,6,1,unknown_bird
